Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
108295,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,"Chauncey, George",,"=""0465026214""","=""9780465026210""",4,4.21,Basic Books,Paperback,496,1995,1994,,2019/11/01,,,read,,,,1,,,0,,,,,
40265834,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,"Morrison, Toni",,"=""0525521038""","=""9780525521037""",2,4.23,Knopf Publishing Group,Hardcover,354,2019,2019,,2019/06/15,,,read,,,,1,,,0,,,,,
45894103,What's Your Pronoun?: Beyond He and She,Dennis Baron,"Baron, Dennis",,"=""1631496042""","=""9781631496042""",0,3.67,Liveright,Hardcover,304,2020,2020,,2019/10/28,to-read,to-read (#219),to-read,,,,0,,,0,,,,,
45201472,The Beautiful Ones,Prince,"Prince, Prince",Dan Piepenbring,"=""0399589651""","=""9780399589652""",0,4.08,Spiegel & Grau ,Hardcover,288,2019,2019,,2019/10/26,to-read,to-read (#218),to-read,,,,0,,,0,,,,,
41824023,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,"Ness, Jonathan Van",,"=""0062906402""","=""9780062906403""",2,4.39,HarperAudio,Audiobook,400,2019,2019,,2019/10/26,,,read,,,,1,,,0,,,,,
39999461,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,"Grisel, Judith",,"=""0385542844""","=""9780385542845""",4,4.08,Doubleday Books,Hardcover,256,2019,2019,,2019/10/25,,,read,,,,1,,,0,,,,,
44145382,"Mud and Stars: Travels in Russia with Pushkin, Tolstoy, and Other Geniuses of the Golden Age",Sara Wheeler,"Wheeler, Sara",,"=""1524748013""","=""9781524748012""",0,4.00,Pantheon Books,Hardcover,304,2019,,,2019/10/24,to-read,to-read (#217),to-read,,,,0,,,0,,,,,
44285661,Hurricanes: A Memoir,Rick  Ross,"Ross, Rick",Neil Martinez-Belkin,"=""""","=""""",2,4.09,Hanover Square Press,Kindle Edition,288,2019,2019,,2019/10/24,,,read,,,,2,,,0,,,,,
15797326,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,"Natterson-Horowitz, Barbara",Kathryn Bowers,"=""0307477436""","=""9780307477439""",5,4.08,Vintage,Paperback,416,2013,2012,,2018/04/27,recommendations,recommendations (#47),read,,,,1,,,0,,,,,
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,"Eyal, Nir",Julie Li,"=""194883653X""","=""9781948836531""",0,3.95,Benbella Books,Hardcover,273,2019,2019,,2019/10/21,to-read,to-read (#216),to-read,,,,0,,,0,,,,,
34889233,"Evolving Brains, Emerging Gods: Early Humans and the Origins of Religion",E. Fuller Torrey,"Torrey, E. Fuller",,"=""0231183364""","=""9780231183369""",0,4.35,Columbia University Press,Hardcover,312,2017,,,2019/10/21,to-read,to-read (#215),to-read,,,,0,,,0,,,,,
44303730,Me,Elton John,"John, Elton",,"=""1250147603""","=""9781250147608""",3,4.50,Henry Holt & Company,Hardcover,352,2019,2019,,2019/10/19,,,read,,,,1,,,0,,,,,
20758057,Empire of Cotton: A Global History,Sven Beckert,"Beckert, Sven",,"=""0375414142""","=""9780375414145""",0,3.83,Knopf,Hardcover,640,2014,2014,,2019/10/18,to-read,to-read (#214),to-read,,,,0,,,0,,,,,
29779239,The Art of Living,Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""1846045096""","=""9781846045097""",5,4.37,Rider,Paperback,224,2017,2017,,2019/10/18,recommendations,recommendations (#46),read,,,,1,,,0,,,,,
43682552,How We Fight For Our Lives,Saeed Jones,"Jones, Saeed",,"=""1501132733""","=""9781501132735""",1,4.41,Simon and Schuster,Hardcover,192,2019,2019,,2019/10/17,,,read,,,,1,,,0,,,,,
44108994,Gender and Our Brains: How New Neuroscience Explodes the Myths of the Male and Female Minds,Gina Rippon,"Rippon, Gina",,"=""""","=""""",4,3.92,Pantheon,Kindle Edition,448,2019,2019,,2019/10/17,,,read,,,,2,,,0,,,,,
89369,The Te of Piglet,Benjamin Hoff,"Hoff, Benjamin",,"=""1405204273""","=""9781405204279""",2,3.80,Egmont Childrens Books,Paperback,257,2003,1992,,2018/08/09,,,read,,,philosophy,1,,,0,,,,,
20256572,The Evil Hours: A Biography of Post-Traumatic Stress Disorder,David J. Morris,"Morris, David J.",,"=""0544086619""","=""9780544086616""",3,4.16,Eamon Dolan/Houghton Mifflin Harcourt,Hardcover,352,2015,2015,,2018/09/12,,,read,,,"sociology, psychology",1,,,0,,,,,
8034188,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,"Johnson, Steven",,"=""1594487715""","=""9781594487712""",4,4.03,Riverhead Books,Hardcover,326,2010,2010,,2018/09/17,,,read,,,"history, sociology",1,,,0,,,,,
320877,When Languages Die: The Extinction of the World's Languages and the Erosion of Human Knowledge,K. David Harrison,"Harrison, K. David",,"=""0195181921""","=""9780195181920""",5,3.90,"Oxford University Press, USA",Hardcover,304,2007,2007,2018/09/18,2018/08/11,,,read,,,"history, sociology, linguistics, current events",2,,,0,,,,,
10909804,Just My Type: A Book About Fonts,Simon Garfield,"Garfield, Simon",,"=""1592406521""","=""9781592406524""",3,3.81,Gotham,Hardcover,384,2011,2010,,2018/09/20,,,read,,,"history, books",1,,,0,,,,,
295369,The Crucible of Creation: The Burgess Shale and the Rise of Animals,Simon Conway Morris,"Morris, Simon Conway",,"=""0192862022""","=""9780192862020""",2,3.97,"Oxford University Press, USA",Paperback,276,2000,,,2018/08/11,,,read,,,"history, evolution",1,,,0,,,,,
141565,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,"Levitin, Daniel J.",,"=""0525949690""","=""9780525949695""",4,3.87,Dutton Adult,Hardcover,314,2006,2006,,2018/09/22,,,read,,,"psychology, human biology, music",1,,,0,,,,,
11213439,Brain Bugs: How the Brain's Flaws Shape Our Lives,Dean Buonomano,"Buonomano, Dean",,"=""0393076024""","=""9780393076028""",4,3.83,W. W. Norton & Company,Hardcover,310,2011,2011,,2018/09/23,recommendations,recommendations (#23),read,,,"psychology, sociology, human biology",1,,,0,,,,,
1376068,Listening Is an Act of Love: A Celebration of American Life from the StoryCorps Project,Dave Isay,"Isay, Dave",,"=""1594201404""","=""9781594201400""",3,4.28,"Penguin Press HC, The",Hardcover,284,2007,2007,,2018/09/24,,,read,,,"memoir, collection",1,,,0,,,,,
18642368,People We Meet: Unforgettable Conversations,National Public Radio,"Radio, National Public",,"=""1622313887""","=""9781622313884""",4,4.02,HighBridge Company,Audio CD,3,2014,2014,,2018/09/24,,,read,,,"memoir, collection",1,,,0,,,,,
155396,The Meaning of Everything: The Story of the Oxford English Dictionary,Simon Winchester,"Winchester, Simon",,"=""019517500X""","=""9780195175004""",4,3.99,"Oxford University Press, USA",Paperback,288,2004,2003,,2018/09/27,,,read,,,"history, books",1,,,0,,,,,
12627411,Horseshoe Crabs and Velvet Worms: The Story of the Animals and Plants That Time Has Left Behind,Richard Fortey,"Fortey, Richard",,"=""0307263614""","=""9780307263612""",5,3.84,Knopf,Hardcover,332,2012,2011,,2018/08/11,,,read,,,"history, evolution",1,,,0,,,,,
38212137,"How Do We Look: The Body, the Divine, and the Question of Civilization",Mary Beard,"Beard, Mary",,"=""1631494406""","=""9781631494406""",4,3.67,Liveright,Hardcover,240,2018,2018,,2018/06/27,,,read,,,"history, sociology",1,,,0,,,,,
35804366,Jaws: The Story of a Hidden Epidemic,Sandra Kahn,"Kahn, Sandra",Paul R. Ehrlich,"=""1503604136""","=""9781503604131""",2,3.73,Stanford University Press,Hardcover,216,2018,2018,,2018/06/11,,,read,,,human biology,1,,,0,,,,,
220469,Scott's Last Expedition: The Journals,Robert Falcon Scott,"Scott, Robert Falcon",Beryl Bainbridge,"=""0786703822""","=""9780786703821""",4,4.14,Basic Books,Paperback,442,1996,1913,,2018/10/01,,,read,,,"history, memoir",1,,,0,,,,,
174354,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,"Bergreen, Laurence",,"=""006093638X""","=""9780060936389""",1,4.10,William Morrow Paperbacks,Paperback,438,2004,2003,,2018/10/03,,,read,,,"history, biography",1,,,0,,,,,
25017,"Krakatoa: The Day the World Exploded: August 27, 1883",Simon Winchester,"Winchester, Simon",,"=""0060838590""","=""9780060838591""",3,3.86,Harper Perennial,Paperback,464,2005,2003,,2018/10/05,,,read,,,"history, environment",1,,,0,,,,,
18693669,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,"Levitin, Daniel J.",,"=""052595418X""","=""9780525954187""",3,3.68,Dutton,Hardcover,528,2014,2014,,2018/10/10,,,read,,,"psychology, human biology",1,,,0,,,,,
35749414,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,"Reich, David",,"=""110187032X""","=""9781101870327""",1,4.18,Pantheon Books,Hardcover,335,2018,2018,,2018/10/13,recommendations,recommendations (#25),read,,,"human biology, evolution",1,,,0,,,,,
28449076,"The Witches: Salem, 1692",Stacy Schiff,"Schiff, Stacy",,"=""031620059X""","=""9780316200592""",1,3.17,Back Bay Books,Paperback,512,2016,2015,,2018/10/12,,,read,,,history,1,,,0,,,,,
39022876,Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,"Idle, Eric",,"=""1984822586""","=""9781984822581""",1,3.87,Crown Archetype,Hardcover,290,2018,2018,,2018/08/17,,,read,,,memoir,1,,,0,,,,,
1918305,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,"Weiner, Eric",,"=""0446580260""","=""9780446580267""",3,3.83,Twelve,Paperback,335,2008,2008,,2018/10/20,,,read,,,memoir,1,,,0,,,,,
14894629,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,"Baptist, Edward E.",,"=""046500296X""","=""9780465002962""",5,4.45,Basic Books,Hardcover,498,2014,2013,,2018/10/27,recommendations,recommendations (#26),read,,,"history, racism, civil rights, current events, politics",1,,,0,,,,,
22522293,The Brain's Way of Healing: Remarkable Discoveries and Recoveries from the Frontiers of Neuroplasticity,Norman Doidge,"Doidge, Norman",,"=""067002550X""","=""9780670025503""",2,4.21,Viking,Hardcover,409,2015,2015,,2018/10/30,,,read,,,"psychology, human biology",1,,,0,,,,,
36722978,The Disordered Mind: What Unusual Brains Tell Us about Ourselves,Eric R. Kandel,"Kandel, Eric R.",,"=""0374287864""","=""9780374287863""",5,4.02,"Farrar, Straus and Giroux",Hardcover,304,2018,2018,,2018/08/09,recommendations,recommendations (#27),read,,,"psychology, sociology, human biology<br/>",1,,,0,,,,,
22738563,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",5,4.45,Vintage,Kindle Edition,52,2014,2014,,2018/10/30,recommendations,recommendations (#29),read,,,"memoirs, philosophy, civil rights, current events",1,,,0,,,,,
33585392,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""152473313X""","=""9781524733131""",5,4.54,Knopf Publishing Group,Hardcover,63,2017,2017,,2018/10/30,,,read,,,"philosophy, current events, civil rights",1,,,0,,,,,
897328,Amazing Rare Things: The Art of Natural History in the Age of Discovery,David Attenborough,"Attenborough, David",Susan Owens,"=""190216346X""","=""9781902163468""",2,4.12,Yale University Press,Hardcover,223,2015,2007,,2019/04/17,,,read,,,"philosophy, environment, history",1,,,0,,,,,
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",4,4.48,Crown,Hardcover,418,2016,2016,,2019/06/23,,,read,,,"sociology, current events, politics, civil rights",1,,,0,,,,,
46631103,"Scatterbrain : How the mind's mistakes make humans creative, innovative and successful",Henning Beck,"Beck, Henning",,"=""177164401X""","=""9781771644013""",4,4.11,Greysrone,Hardcover,336,2019,,,2019/10/13,,,read,,,"psychology, human biology",1,,,0,,,,,
6139736,Burn This Book: PEN Writers Speak Out on the Power of the Word,Toni Morrison,"Morrison, Toni",,"=""0061774006""","=""9780061774003""",2,3.58,Harper,Hardcover,128,2009,2009,,2019/10/14,,,read,,,"philosophy, literature, collection",1,,,0,,,,,
39209241,Professor at Large: The Cornell Years,John Cleese,"Cleese, John",,"=""1501716573""","=""9781501716577""",3,3.94,Cornell University Press,Hardcover,248,2018,2018,,2018/08/17,,,read,,,memoir,1,,,0,,,,,
31247648,The Great Unknown: Seven Journeys to the Frontiers of Science,Marcus du Sautoy,"Sautoy, Marcus du",,"=""0735221804""","=""9780735221802""",3,3.99,Viking,Hardcover,450,2017,2017,,2018/11/03,,,read,,,"science, physics, mathematics",1,,,0,,,,,
142292,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,"Taylor, Jill Bolte",,"=""1430300612""","=""9781430300618""",4,3.88,Lulu.com,Paperback,188,2006,2006,,2018/11/04,recommendations,recommendations (#28),read,,,"memoir, psychology, human biology",1,,,0,,,,,
13912,A Beautiful Mind,Sylvia Nasar,"Nasar, Sylvia",,"=""0571212921""","=""9780571212927""",3,4.13,Faber  Faber,Paperback,461,2002,1998,,2018/11/10,,,read,,,"biography, mathematics",1,,,0,,,,,
41150906,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""""","=""""",4,4.07,Penguin,Paperback,240,2018,2017,,2018/11/15,,,read,,,physics,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.44,Harvill Secker,Paperback,498,2014,2011,,2018/11/15,,,read,,,"human evolution, psychology, sociology",1,,,0,,,,,
38656999,The Good Neighbor: The Life and Work of Fred Rogers,Maxwell King,"King, Maxwell",,"=""1419727729""","=""9781419727726""",2,4.01,Harry N. Abrams,Hardcover,416,2018,2018,,2018/11/19,,,read,,,biography,1,,,0,,,,,
35631386,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"Lewis, Michael",,"=""0393354776""","=""9780393354775""",2,3.98,W. W. Norton  Company,Paperback,368,2017,2016,,2018/11/21,,,read,,,"biography, science",1,,,0,,,,,
11472331,Religion in Human Evolution: From the Paleolithic to the Axial Age,Robert N. Bellah,"Bellah, Robert N.",,"=""0674061438""","=""9780674061439""",3,4.01,Belknap Press of Harvard University Press,Hardcover,776,2011,2011,,2018/01/21,,,read,,,"psychology, evolution",1,,,0,,,,,
3001512,Wesley the Owl: The Remarkable Love Story of an Owl and His Girl,Stacey O'Brien,"O'Brien, Stacey",,"=""1416551735""","=""9781416551737""",4,4.10,Free Press,Hardcover,230,2008,2008,,2018/11/23,,,read,,,"memoir, animals, birds",1,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",4,4.45,Metropolitan Books,Hardcover,282,2014,2014,,2018/11/24,,,read,,,"sociology, mortality ",1,,,0,,,,,
40940205,Tribe: On Homecoming and Belonging,Sebastian Junger,"Junger, Sebastian",,"=""""","=""""",1,4.04,Twelve,Kindle Edition,182,2016,2016,,2018/11/24,,,read,,,sociology,1,,,0,,,,,
36525023,Women & Power: A Manifesto,Mary Beard,"Beard, Mary",,"=""1631494759""","=""9781631494758""",4,4.07,Liveright,Hardcover,115,2017,2017,,2018/11/25,,,read,,,"history, sociology, civil rights",1,,,0,,,,,
10483599,"The Great Penguin Rescue: 40,000 Penguins, a Devastating Oil Spill, and the Inspiring Story of the World's Largest Animal Rescue",Dyan deNapoli,"deNapoli, Dyan",,"=""143914818X""","=""9781439148181""",2,3.91,Free Press,Paperback,320,2011,2010,,2018/11/28,,,read,,,"animals, birds, conservation",1,,,0,,,,,
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",5,4.59,Crown,Hardcover,426,2018,2018,,2018/11/18,,,read,,,"memoir, racism, civil rights",1,,,0,,,,,
39088907,The Breakthrough: Immunotherapy and the Race to Cure Cancer,Charles Graeber,"Graeber, Charles",,"=""1455568503""","=""9781455568505""",2,4.30,Twelve,Hardcover,320,2018,2018,,2018/12/05,,,read,,,"memoir, human biology",1,,,0,,,,,
8387154,Hero: The Life and Legend of Lawrence of Arabia,Michael Korda,"Korda, Michael",,"=""0061712612""","=""9780061712616""",1,4.13,Harper,Hardcover,699,2010,2010,,2018/12/08,,,read,,,"biography, history",1,,,0,,,,,
35068671,The Perfectionists: How Precision Engineers Created the Modern World,Simon Winchester,"Winchester, Simon",,"=""0062652575""","=""9780062652577""",3,4.13,Harper,ebook,416,2018,2018,,2018/12/09,,,read,,,"history, technology",1,,,0,,,,,
17288646,"Hardwiring Happiness: The New Brain Science of Contentment, Calm, and Confidence",Rick Hanson,"Hanson, Rick",,"=""0385347316""","=""9780385347310""",2,3.67,Harmony,Hardcover,304,2013,2013,,2018/12/11,,,read,,,"psychology, sociology, philosophy",1,,,0,,,,,
28504537,A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,"Levitin, Daniel J.",,"=""0525955224""","=""9780525955221""",5,3.77,Dutton,Hardcover,292,2016,2016,,2018/12/13,recommendations,recommendations (#31),read,,,"psychology, sociology",1,,,0,,,,,
37941678,Heart: A History,Sandeep Jauhar,"Jauhar, Sandeep",,"=""0374168652""","=""9780374168650""",2,3.99,"Farrar, Straus and Giroux",Hardcover,269,2018,2018,,2018/07/02,,,read,,,"human biology, memoir",1,,,0,,,,,
16113737,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,"Higashida, Naoki","K.A. Yoshida, David Mitchell","=""0812994868""","=""9780812994865""",3,3.81,Random House,Hardcover,135,2013,2005,,2018/12/15,,,read,,,"memoir, psychology, sociology, civil rights",1,,,0,,,,,
2635587,Factory Girls: From Village to City in a Changing China ,Leslie T. Chang,"Chang, Leslie T.",,"=""0385520174""","=""9780385520171""",3,3.90,Spiegel & Grau,Hardcover,420,2008,2008,,2018/12/17,,,read,,,"current events, politics, civil rights",1,,,0,,,,,
25614298,In Other Words,Jhumpa Lahiri,"Lahiri, Jhumpa",Ann Goldstein,"=""1101875550""","=""9781101875551""",4,3.65,Knopf,Hardcover,233,2016,2015,,2018/12/18,,,read,,,"memoir, linguistics",1,,,0,,,,,
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1476733503""","=""9781476733500""",2,4.37,Scribner,Hardcover,592,2016,2016,2018/12/22,2018/12/22,,,read,,,"human biology, evolution",1,,,0,,,,,
37819098,GuRu,RuPaul,"RuPaul, RuPaul",,"=""0062863002""","=""9780062863003""",2,3.70,Dey Street Books,ebook,208,2018,2018,2018/12/23,2018/12/23,,,read,,,"memoir, LGBTQ",1,,,0,,,,,
13586699,Drinking Water: A History,James Salzman,"Salzman, James",,"=""1590207203""","=""9781590207208""",3,3.65,Harry N. Abrams,Hardcover,320,2012,2012,2018/12/23,2018/12/23,,,read,,,"science, history, politics, current events",1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",3,4.27,Harper,Kindle Edition,450,2017,2015,2018/12/25,2018/12/24,,,read,,,"human biology, current events, politics",1,,,0,,,,,
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,"=""0316322407""","=""9780316322409""",2,4.11,"Little, Brown and Company",Hardcover,327,2013,2012,2018/12/26,2018/12/26,,,read,,,"memoir, civl rights",1,,,0,,,,,
30145147,The Telomere Effect: The New Science of Living Younger,Elizabeth Blackburn,"Blackburn, Elizabeth",Elissa Epel,"=""1455587974""","=""9781455587971""",2,3.74,Grand Central Publishing,Hardcover,416,2017,2017,2018/12/27,2018/12/27,,,read,,,human biology,1,,,0,,,,,
218186,Nelson Mandela's Favorite African Folktales,Nelson Mandela,"Mandela, Nelson",,"=""0393052125""","=""9780393052121""",4,3.91,W. W. Norton  Company,Hardcover,144,2002,2002,2018/12/27,2018/12/27,,,read,,,"culture, fiction",1,,,0,,,,,
16056498,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,"Grandin, Temple",Richard Panek,"=""0547636458""","=""9780547636450""",5,4.10,Houghton Mifflin Harcourt,Hardcover,206,2013,2013,,2018/12/30,recommendations,recommendations (#33),read,,,"memoir, animals, psychology, civil rights",1,,,0,,,,,
3675893,The Art of Happiness in a Troubled World,Dalai Lama XIV,"XIV, Dalai Lama",Howard C. Cutler,"=""0767920643""","=""9780767920643""",2,3.69,Harmony,Hardcover,368,2009,2008,,2018/12/31,,,read,,,"philosophy, current events, politics",1,,,0,,,,,
16171221,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein,"Epstein, David",,"=""1591845114""","=""9781591845119""",2,4.18,Current,Hardcover,338,2013,2013,2019/01/01,2019/01/01,,,read,,,"human biology, evolution, sports",1,,,0,,,,,
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.09,W. W. Norton & Company,Paperback,301,2018,2017,2019/01/02,2019/01/02,,,read,,,"culture, fiction",1,,,0,,,,,
35887237,"Reader, Come Home: The Reading Brain in a Digital World",Maryanne Wolf,"Wolf, Maryanne",,"=""0062388797""","=""9780062388797""",3,3.85,Harper,ebook,288,2018,2018,2019/01/05,2019/01/05,,,read,,,"psychology, sociology, human biology, books",1,,,0,,,,,
43441827,The Rise and Fall of the Dinosaurs: The Untold Story of a Lost World,Steve Brusatte,"Brusatte, Steve",,"=""150983009X""","=""9781509830091""",2,4.17,Picador,Paperback,320,2019,2018,,2019/01/05,,,read,,,"pre-history, animals",1,,,0,,,,,
35574990,Wonderland: How Play Made the Modern World,Steven Johnson,"Johnson, Steven",,"=""039918449X""","=""9780399184499""",2,3.81,Riverhead Books,Paperback,336,2017,2016,2019/01/11,2019/01/11,,,read,,,"psychology, sociology",1,,,0,,,,,
26200563,Hamilton: The Revolution,Lin-Manuel Miranda,"Miranda, Lin-Manuel",Jeremy McCarter,"=""1455539740""","=""9781455539741""",5,4.47,Grand Central Publishing,Hardcover,285,2016,2016,2019/01/12,2019/01/12,recommendations,recommendations (#36),read,,,"memoir, music, current events, politics, civil rights",1,,,0,,,,,
450534,When the Body Says No: The Cost of Hidden Stress,Dr. Gabor Maté,"Maté, Dr. Gabor",,"=""0676973124""","=""9780676973129""",2,4.29,Vintage Canada,Paperback,320,2004,2003,,2019/01/12,,,read,,,"psychology, human biology",1,,,0,,,,,
21531503,What I Know for Sure,Oprah Winfrey,"Winfrey, Oprah",,"=""1250054052""","=""9781250054050""",2,4.17,Flatiron Books,Hardcover,228,2014,2014,2019/01/13,2019/01/13,,,read,,,"memoir, philosophy, civil rights, racism",1,,,0,,,,,
2095,The Universe in a Nutshell,Stephen Hawking,"Hawking, Stephen",,"=""055380202X""","=""9780553802023""",2,4.15,Bantam,Hardcover,216,2001,2001,2019/01/14,2019/01/15,,,read,,,"memoir, physics",1,,,0,,,,,
41078131,American Wolf,Nate Blakeslee,"Blakeslee, Nate",,"=""1101902809""","=""9781101902806""",3,4.39,Broadway Books,Paperback,320,2018,2017,2019/01/15,2019/01/15,,,read,,,"animals, conservation, current events, politics",1,,,0,,,,,
35721151,A Naturalist at Large: The Best Essays of Bernd Heinrich,Bernd Heinrich,"Heinrich, Bernd",,"=""0544986830""","=""9780544986831""",3,4.17,Houghton Mifflin Harcourt,Hardcover,304,2018,2018,2019/01/18,2019/01/18,,,read,,,"memoir, animals, ecosystems, conservation",1,,,0,,,,,
5788390,"The Art Instinct: Beauty, Pleasure, and Human Evolution",Denis Dutton,"Dutton, Denis",,"=""1596914017""","=""9781596914018""",5,3.83,Bloomsbury Press,Hardcover,278,2008,2008,,2018/10/03,recommendations,recommendations (#34),read,,,"psychology, human biology, evolution",1,,,0,,,,,
318431,Long Walk to Freedom,Nelson Mandela,"Mandela, Nelson",,"=""0316548189""","=""9780316548182""",5,4.34,Back Bay Books,Paperback,656,1995,1994,,2019/01/24,,,read,,,"memoir, current events, politics, racism, civil rights",1,,,0,,,,,
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",2,3.87,"Penguin Press HC, The",Hardcover,307,2011,2011,,2019/01/26,,,read,,,"psychology, human biology",1,,,0,,,,,
41962204,Bookends: Collected Intros and Outros,Michael Chabon,"Chabon, Michael",,"=""""","=""""",2,3.39,Harper Perennial,Kindle Edition,192,2019,2019,,2019/01/29,,,read,,,books,1,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",2,3.94,Riverhead Books,Hardcover,242,2009,2009,2019/01/30,2019/01/30,,,read,,,"sociology, psychology",1,,,0,,,,,
31624584,The Oxford Illustrated History of Witchcraft and Magic,Owen  Davies,"Davies, Owen",,"=""019960844X""","=""9780199608447""",2,3.84,"Oxford University Press, USA",Hardcover,416,2017,,2019/01/30,2018/05/23,,,read,,,"history, sociology",1,,,0,,,,,
34759012,This is Your Brain on Anxiety; What Happens and What Helps,Faith G. Harper,"Harper, Faith G.",,"=""""","=""""",1,3.44,,,26,,,,2019/02/03,,,read,,,"psychology, philosophy",1,,,0,,,,,
51660,Food of the Gods: The Search for the Original Tree of Knowledge,Terence McKenna,"McKenna, Terence",,"=""0553371304""","=""9780553371307""",3,4.16,Bantam Books (NY et al.),Paperback,311,1993,1992,2019/02/02,2019/02/02,,,read,,,"psychology, human biology",1,,,0,,,,,
23465131,Metonymy,Jeannette Littlemore,"Littlemore, Jeannette",,"=""110704362X""","=""9781107043626""",5,4.50,Cambridge University Press,Hardcover,240,2015,2015,2019/02/04,2018/08/22,,,read,,,linguistics,2,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",4,4.18,Simon & Schuster,Hardcover,600,2017,2017,,2019/02/05,,,read,,,biography,1,,,0,,,,,
88466,Monkeys Are Made of Chocolate: Exotic and Unseen Costa Rica,Jack Ewing,"Ewing, Jack",Daniel Quinn,"=""0965809811""","=""9780965809818""",2,3.88,Pixyjack Press,Paperback,210,2005,2003,,2019/01/02,,,read,,,"memoir, animals, ecosystems, conservation",1,,,0,,,,,
16130,Alexander Hamilton,Ron Chernow,"Chernow, Ron",,"=""0143034758""","=""9780143034759""",3,4.23,Penguin Books,Paperback,818,2005,2004,,2019/02/09,,,read,,,biography,1,,,0,,,,,
17349092,"The Men Who United the States: America's Explorers, Inventors, Eccentrics and Mavericks, and the Creation of One Nation, Indivisible",Simon Winchester,"Winchester, Simon",,"=""0062079603""","=""9780062079602""",2,3.81,Harper,Hardcover,496,2013,2013,,2019/02/10,,,read,,,history,1,,,0,,,,,
423481,Lost Languages: The Enigma of the World's Undeciphered Scripts,Andrew Robinson,"Robinson, Andrew",,"=""0071357432""","=""9780071357432""",4,4.07,McGraw-Hill Companies,Hardcover,352,2002,2002,,2018/01/21,,,read,,,"history, linguistics",1,,,0,,,,,
35721138,The Neuroscientist Who Lost Her Mind: My Tale of Madness and Recovery,Barbara K. Lipska,"Lipska, Barbara K.",Elaine McArdle,"=""1328787303""","=""9781328787309""",4,3.80,Houghton Mifflin Harcourt,Hardcover,208,2018,2018,2019/02/13,2019/02/13,,,read,,,"memoir, psychology, human biology",1,,,0,,,,,
