Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
43522563,Hivemind: The New Science of Tribalism in Our Divided World,Sarah Rose Cavanagh,"Cavanagh, Sarah Rose",,"=""1538713322""","=""9781538713327""",0,4.22,Grand Central Publishing,Hardcover,304,2019,,,2019/08/13,to-read,to-read (#184),to-read,,,,0,,,0,,,,,
46064200,Diagnosis: Solving the Most Baffling Medical Mysteries,Lisa Sanders,"Sanders, Lisa",,"=""0593136632""","=""9780593136638""",0,4.14,Broadway Books,Paperback,320,2019,,,2019/08/13,to-read,to-read (#183),to-read,,,,0,,,0,,,,,
43319544,A Mindfulness-Based Stress Reduction Workbook,Bob Stahl,"Stahl, Bob","Elisha Goldstein, Jon Kabat-Zinn, Saki Santorelli","=""1684033551""","=""9781684033553""",0,4.11,New Harbinger Publications,Paperback,256,2019,2010,,2019/08/10,to-read,to-read (#182),to-read,,,,0,,,0,,,,,
43862307,The Golden Thread: How Fabric Changed History,Kassia St. Clair,"Clair, Kassia St.",,"=""1631494805""","=""9781631494802""",0,4.10,Liveright,Hardcover,368,2019,2018,,2019/08/10,to-read,to-read (#181),to-read,,,,0,,,0,,,,,
43835491,Eat Joy: Stories & Comfort Food from 31 Celebrated Writers,Natalie Eve Garrett,"Garrett, Natalie Eve",,"=""""","=""9781936787791""",0,4.21,Black Balloon,Hardcover,208,2019,2019,,2019/08/04,to-read,to-read (#180),to-read,,,,0,,,0,,,,,
40180049,Mudlark: In Search of London's Past Along the River Thames,Lara Maiklem,"Maiklem, Lara",,"=""1631494961""","=""9781631494963""",0,4.39,Liveright,Hardcover,336,2019,2019,,2019/08/01,to-read,to-read (#179),to-read,,,,0,,,0,,,,,
43679590,Doctor Dogs: How Our Best Friends Are Becoming Our Best Medicine,Maria Goodavage,"Goodavage, Maria",,"=""1524743046""","=""9781524743048""",0,4.37,Dutton Books,Hardcover,368,2019,,,2019/08/01,to-read,to-read (#178),to-read,,,,0,,,0,,,,,
27656801,"Vitamins, Minerals, & More!: Food Sources, Functions of the Body, and Deficiencies (Symptoms)",Michelle J. Bever,"Bever, Michelle J.",,"=""""","=""""",0,4.29,Createspace Independent Publishing Platform,Paperback,50,2015,,,2019/08/01,to-read,to-read (#177),to-read,,,,0,,,0,,,,,
42244789,Superbugs: The Race to Stop an Epidemic,Matt   McCarthy,"McCarthy, Matt",,"=""0735217505""","=""9780735217508""",0,4.09,Avery Publishing Group,Hardcover,304,2019,2019,,2019/07/23,to-read,to-read (#176),to-read,,,,0,,,0,,,,,
44135676,A Mindful Year: 365 Ways to Find Connection and the Sacred in Everyday Life,Aria Campbell-Danesh,"Campbell-Danesh, Aria","Seth J. Gillihan, Alice Boyes","=""1982501839""","=""9781982501839""",0,4.29,Blackstone Publishing,Hardcover,,2019,2019,,2019/07/21,to-read,to-read (#175),to-read,,,,0,,,0,,,,,
43908863,Threads of Life: A History of the World Through the Eye of a Needle,Clare Hunter,"Hunter, Clare",,"=""1419739530""","=""9781419739538""",0,4.00,Harry N. Abrams,Hardcover,320,2019,2019,,2019/07/21,to-read,to-read (#174),to-read,,,,0,,,0,,,,,
40790728,Mysteries and Mindsets (Decoding Persistent Depression #1),Roger Di Pietro,"Pietro, Roger Di",,"=""138780068X""","=""9781387800681""",0,3.62,Lulu,Paperback,281,2018,2018,,2019/07/20,to-read,to-read (#173),to-read,,,,0,,,0,,,,,
36423145,Opium: How an Ancient Flower Shaped and Poisoned Our World,John H. Halpern,"Halpern, John H.",David Blistein,"=""0316417661""","=""9780316417662""",0,3.71,Hachette Books,Hardcover,352,2019,2019,,2019/07/20,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
43782397,Molly: The True Story of the Amazing Dog Who Rescues Cats,Colin Butcher,"Butcher, Colin",,"=""1250204771""","=""9781250204776""",0,4.36,Celadon Books,Hardcover,304,2019,,,2019/07/20,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
43726557,The Seine: The River that Made Paris,Elaine Sciolino,"Sciolino, Elaine",,"=""0393609359""","=""9780393609356""",0,4.36,W. W. Norton  Company,Hardcover,304,2019,,,2019/07/20,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
43387410,Mythos,Stephen Fry,"Fry, Stephen",,"=""1452178917""","=""9781452178912""",0,4.24,Chronicle Books,Hardcover,352,2019,2017,,2019/07/20,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
2416732,The Impenetrable Forest: My Gorilla Years in Uganda,Thor Hanson,"Hanson, Thor",,"=""1933698195""","=""9781933698199""",0,4.34,1500 Books LLC,Hardcover,284,2008,2000,,2019/07/18,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
4316633,The History Of The Japanese Written Language,Yaeko Sato Habein,"Habein, Yaeko Sato",,"=""4130870475""","=""9784130870474""",0,4.00,,,,,,,2019/07/18,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
44595220,Medicine and Miracles in the High Desert: My Life Among the Navajo People,Erica M. Elliott,"Elliott, Erica M.",,"=""1982220988""","=""9781982220983""",0,4.64,Balboa Press,Paperback,202,2019,,,2019/07/16,to-read,to-read (#166),to-read,,,,0,,,0,,,,,
43844210,Bedlam: An Intimate Journey Into America's Mental Health Crisis,Kenneth Paul Rosenberg,"Rosenberg, Kenneth Paul",,"=""0525541314""","=""9780525541318""",0,4.19,Avery,Hardcover,256,2019,,,2019/07/16,to-read,to-read (#165),to-read,,,,0,,,0,,,,,
45420390,"Sing a Rhythm, Dance a Blues: Education for the Liberation of Black and Brown Girls",Monique W. Morris,"Morris, Monique W.",,"=""1620973995""","=""9781620973998""",0,4.44,The New Press,Hardcover,192,2019,,,2019/07/16,to-read,to-read (#164),to-read,,,,0,,,0,,,,,
44676065,"What They Meant for Evil: How a Lost Girl of Sudan Found Healing, Peace, and Purpose in the Midst of Suffering",Rebecca Deng,"Deng, Rebecca",Ginger Kolbaba,"=""1546017224""","=""9781546017226""",0,4.60,FaithWords,Hardcover,304,2019,,,2019/07/16,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
30754168,The Anxiety Code: Deciphering the Purposes of Neurotic Anxiety,Roger Di Pietro,"Pietro, Roger Di",,"=""131213660X""","=""9781312136601""",0,3.91,Lulu.com,Paperback,416,2015,2014,,2019/07/13,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
43212624,Haben: The Deafblind Woman Who Conquered Harvard Law,Haben Girma,"Girma, Haben",,"=""1538728729""","=""9781538728727""",0,4.19,Twelve,Hardcover,288,2019,2019,,2019/07/13,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
41711305,The Bells of Old Tokyo: Meditations on Time and a City,Anna Sherman,"Sherman, Anna",,"=""1250206405""","=""9781250206404""",0,3.66,Picador USA,Hardcover,352,2019,2019,,2019/07/13,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
43522602,The First Cell: And the Human Costs of Pursuing Cancer to the Last,Azra Raza,"Raza, Azra",,"=""1541699521""","=""9781541699526""",0,4.38,Basic Books,Hardcover,368,2019,2019,,2019/07/11,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
43908950,Good Neighbor: The Life and Work of Fred Rogers,Maxwell King,"King, Maxwell",,"=""1419735160""","=""9781419735165""",0,4.01,Harry N. Abrams,Paperback,320,2019,2018,,2019/07/08,to-read,to-read (#158),to-read,,,,0,,,0,,,,,
43387395,"Nordic Tales: Folktales from Norway, Sweden, Finland, Iceland, and Denmark (Nordic Folklore and Stories, Illustrated Nordic Book for Teens and Adults)",Chronicle Books,"Books, Chronicle",Ulla Thynell,"=""1452174474""","=""9781452174471""",0,4.20,Chronicle Books,Hardcover,168,2019,,,2019/07/08,to-read,to-read (#157),to-read,,,,0,,,0,,,,,
43522604,"Messengers: Who We Listen To, Who We Don't, and Why",Stephen Martin,"Martin, Stephen",Joseph Marks,"=""1541724380""","=""9781541724389""",0,3.90,PublicAffairs,Hardcover,352,2019,2019,,2019/07/05,to-read,to-read (#156),to-read,,,,0,,,0,,,,,
43726564,"The Stoic Challenge: A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,"Irvine, William B.",,"=""0393652491""","=""9780393652499""",0,3.82,W. W. Norton  Company,Hardcover,224,2019,,,2019/07/01,to-read,to-read (#155),to-read,,,,0,,,0,,,,,
44140832,White Negroes: When Cornrows Were in Vogue ... and Other Thoughts on Cultural Appropriation,Lauren Michele Jackson,"Jackson, Lauren Michele",,"=""0807011800""","=""9780807011805""",0,3.17,Beacon Press,Hardcover,184,2019,2019,,2019/07/01,to-read,to-read (#154),to-read,,,,0,,,0,,,,,
41454014,The Book of Pride: LGBTQ Heroes Who Changed the World,Mason Funk,"Funk, Mason",,"=""0062571702""","=""9780062571700""",0,4.22,HarperOne,Paperback,288,2019,,,2019/06/28,to-read,to-read (#153),to-read,,,,0,,,0,,,,,
40591955,A Death in the Rainforest: How a Language and a Way of Life Came to an End in Papua New Guinea,Don Kulick,"Kulick, Don",,"=""1616209046""","=""9781616209049""",0,4.20,Algonquin Books,Hardcover,288,2019,2019,,2019/06/28,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
