,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
642,9780241257968,Reality is Not What it Seems: The Journey to Quantum Gravity,Carlo Rovelli,4,Allen Lane,256.0,2016.0,2014.0,2018-09-02,,False
643,9780393310788,The Roman Way,Edith Hamilton,3,W. W. Norton  Company,224.0,1993.0,1932.0,2018-09-08,,False
644,9780399184413,Seven Brief Lessons on Physics,Carlo Rovelli,2,Riverhead Books,81.0,2016.0,2014.0,2018-09-09,,False
646,9780691089775,The First Fossil Hunters: Paleontology In Greek And Roman Times,Adrienne Mayor,3,Princeton University Press,361.0,2001.0,2000.0,2018-08-11,,False
647,9780691162683,Silent Sparks: The Wondrous World of Fireflies,Sara    Lewis,3,Princeton University Press,240.0,2016.0,2016.0,2018-02-22,,False
648,9781400849932,The Extreme Life of the Sea,Stephen R. Palumbi,3,Princeton University Press,240.0,2014.0,2014.0,2018-01-09,,False
649,9780691166353,"Monarchs and Milkweed: A Migrating Butterfly, a Poisonous Plant, and Their Remarkable Story of Coevolution",Anurag Agrawal,3,Princeton University Press,283.0,2017.0,2017.0,2018-03-08,,False
650,9781613747186,Grandma Gatewood's Walk: The Inspiring Story of the Woman Who Saved the Appalachian Trail,Ben Montgomery,3,Chicago Review Press,288.0,2014.0,2014.0,2018-08-25,,False
651,9780525428305,The Templars: The Rise and Spectacular Fall of God's Holy Warriors,Dan Jones,2,Viking,448.0,2017.0,2017.0,2018-08-25,,False
652,9780393310771,The Greek Way,Edith Hamilton,2,W. W. Norton & Co,212.0,1993.0,1930.0,2018-07-30,,False
653,9781569472026,Moab Is My Washpot (Memoir #1),Stephen Fry,2,Soho Press,366.0,2003.0,1997.0,2018-01-28,,False
654,9780691001678,A Natural History of Shells,Geerat J. Vermeij,2,Princeton University Press,232.0,1995.0,1993.0,2018-04-01,,False
655,9780374712211,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,Christie Wilcox,4,"Scientific American / Farrar, Straus and Giroux",256.0,2016.0,2016.0,2018-02-03,,False
656,9780385543613,The Plant Messiah: Adventures in Search of the World's Rarest Species,Carlos Magdalena,3,Doubleday Books,262.0,2018.0,2018.0,2018-04-01,,False
657,9780743247696,Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin,3,Scribner,368.0,2004.0,2004.0,2018-08-17,,False
658,9780307266309,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4,Knopf,287.0,2009.0,2009.0,2018-03-12,,False
659,9780812993547,Between the World and Me,Ta-Nehisi Coates,3,Spiegel & Grau,152.0,2015.0,2015.0,2018-01-03,,False
660,9781631493188,The Origins of Creativity,Edward O. Wilson,1,Liveright,256.0,2017.0,2017.0,2018-08-06,,False
661,9780385531085,How I Killed Pluto and Why It Had It Coming,Mike Brown,1,Spiegel & Grau,267.0,2010.0,2010.0,2018-06-27,,False
662,9780486275482,Medea,Euripides,1,Dover Publications,59.0,1993.0,-431.0,2018-01-27,,False
663,9780872206038,Lysistrata,Aristophanes,1,"Hackett Publishing Company, Inc.",132.0,2003.0,-411.0,2018-02-14,,False
664,,Thoughts on Art and Life,Leonardo da Vinci,1,,,,2009.0,2018-07-31,,False
665,9780192804631,Art Theory: A Very Short Introduction,Cynthia A. Freeland,1,Oxford University Press,184.0,2007.0,2003.0,2018-07-17,,False
666,9781869414238,Station Life In New Zealand,Lady Barker,1,Random House New Zealand,277.0,2000.0,1870.0,2018-07-21,,False
667,9780316338929,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nathalia Holt,1,"Little, Brown and Company",338.0,2016.0,2016.0,2018-02-10,,False
668,9780140449334,Meditations,Marcus Aurelius,2,Penguin Books,303.0,2006.0,180.0,2018-02-20,,False
669,9781421266237,How to Listen to Music: Hints and Suggestions to Untaught Lovers of the Art,Henry Edward Krehbiel,1,Adamant Media Corporation,383.0,2005.0,1976.0,2018-02-17,,False
